seed,ap_mean,roc_auc_mean,thr90_mean,thr95_mean,recall_thr90_mean,recall_thr95_mean,precision_thr90_mean,precision_thr95_mean
11,0.5485908690473736,0.7683614043908161,0.1014609978764113,0.07034655192687256,0.7916666666666667,0.8805555555555555,0.2093846787964435,0.17678613576898586
19,0.5327802904269425,0.8022121669180493,0.08680950724324751,0.0632727981202325,0.8861111111111111,0.9083333333333334,0.20105820718831113,0.17605287569573286
42,0.5753270777790968,0.841487556561086,0.12356043064060591,0.08971796230679459,0.8416666666666666,0.888888888888889,0.2574313283872107,0.21159920101096574
77,0.5965493164970954,0.8390103904809788,0.13128859871006796,0.08611101757980451,0.8166666666666667,0.9055555555555556,0.27252983032293376,0.1991133189303921
2026,0.5641142457979557,0.8188777861571979,0.08983543934616907,0.06126227344868742,0.9305555555555556,0.9777777777777779,0.2137159976560981,0.18811579226285108
